	stat	collagen
Cluster-32824.4	-3.155187913	0
Cluster-33358.46750	3.148463	0
Cluster-33358.52852	-3.137281	0
Cluster-33358.15386	-3.104774	0
Cluster-33358.20457	-3.103299	0
Cluster-33358.23401	-3.108196	0
Cluster-33358.38747	-3.114951	0
Cluster-33358.48290	3.111943	0
Cluster-33358.66041	3.099851	0
Cluster-33358.57568	-3.08366	0
Cluster-47578.4	-3.074645	0
Cluster-33358.41000	-3.065032	0
Cluster-33358.45076	3.052528	0
Cluster-33358.62561	-3.053842	0
Cluster-33358.63585	-3.056727	0
Cluster-33358.64960	3.059225	0
Cluster-33358.67651	-3.05001	0
Cluster-44056.1	-3.058871	0
Cluster-44524.0	-3.049556	0
Cluster-33358.23437	-3.041085	0
Cluster-33358.31812	-3.033713	0
Cluster-33358.60356	3.035055	0
Cluster-42020.0	-3.030658	0
Cluster-33358.50340	-3.024422	0
Cluster-33358.5577	-3.020616871	0
Cluster-33358.31354	-3.01634	0
Cluster-33358.29686	-3.011241	0
Cluster-33358.31674	-2.999174	0
Cluster-33358.56659	-2.992639	0
Cluster-33358.20591	2.965134	0
Cluster-33358.34948	-2.970367	0
Cluster-33358.37664	-2.965977	0
Cluster-33358.39169	-2.962661	0
Cluster-33358.63600	-2.960932	0
Cluster-43294.3	-2.972358	0
Cluster-41427.1	2.946094	0
Cluster-33358.55212	-2.941553	0
Cluster-42330.1	-2.940408	0
Cluster-33358.3411	-2.917524405	0
Cluster-33358.9066	2.927343752	0
Cluster-33358.28173	-2.921132	0
Cluster-33358.29871	-2.926173	0
Cluster-33358.49986	-2.932095	0
Cluster-33358.52120	-2.917559	0
Cluster-33358.66776	-2.919738	0
Cluster-33765.0	-2.918628	0
Cluster-45253.0	-2.92215	0
Cluster-33358.11927	2.911929	0
Cluster-33358.30006	2.910675	0
Cluster-33358.56055	-2.914931	0
Cluster-33358.2091	-2.899121575	0
Cluster-33358.35723	-2.899322	0
Cluster-33358.38875	-2.898921	0
Cluster-33358.38458	-2.893819	0
Cluster-35717.0	-2.895803	0
Cluster-33358.10955	2.887283	0
Cluster-27305.0	-2.875672445	0
Cluster-33358.44548	2.877739	0
Cluster-33358.41326	-2.855045	0
Cluster-33358.23412	-2.85272	0
Cluster-33358.45937	-2.842674	0
Cluster-33358.29419	-2.827068	0
Cluster-33358.58068	-2.826607	0
Cluster-33358.6820	-2.808885863	0
Cluster-33358.8550	-2.817418122	0
Cluster-33358.21444	-2.809872	0
Cluster-33358.26100	-2.806226	0
Cluster-33358.26968	-2.823404	0
Cluster-33358.31817	-2.813154	0
Cluster-33358.44644	-2.82125	0
Cluster-33358.44997	2.80537	0
Cluster-33358.66994	-2.815883	0
Cluster-38944.0	-2.806694	0
Cluster-33358.33197	-2.797582	0
Cluster-33358.21842	-2.791493	0
Cluster-33358.64471	2.786143	0
Cluster-33358.66262	-2.785968	0
Cluster-33358.38492	-2.783418	0
Cluster-21364.5	-2.780615407	0
Cluster-33358.2925	2.776253569	0
Cluster-33358.6618	-2.770278632	0
Cluster-33358.34219	-2.763371	0
Cluster-40446.0	-2.760906	0
Cluster-33358.4597	-2.757790889	0
Cluster-33358.54771	-2.751103	0
Cluster-33358.16761	2.747237	0
Cluster-33358.54708	-2.748596	0
Cluster-33358.23996	-2.73786	0
Cluster-33358.25251	-2.738509	0
Cluster-33358.58332	-2.743139	0
Cluster-33358.68766	-2.736713	0
Cluster-33358.8335	-2.735995166	0
Cluster-33358.48786	-2.732141	0
Cluster-33358.25066	-2.726797	0
Cluster-33358.11742	2.723572	0
Cluster-33358.45533	-2.714918	0
Cluster-33358.44250	-2.706307	0
Cluster-33358.48034	-2.710275	0
Cluster-33358.62504	-2.706583	0
Cluster-46692.2	-2.706244	0
Cluster-33358.16091	-2.694708	0
Cluster-45482.2	-2.69718	0
Cluster-48563.0	-2.697481	0
Cluster-28144.0	2.693811192	0
Cluster-33358.22525	-2.688187	0
Cluster-33358.66609	-2.68966	0
Cluster-36372.1	-2.681922	0
Cluster-33358.42803	-2.67639	0
Cluster-33358.58294	-2.677802	0
Cluster-39444.0	-2.676505	0
Cluster-33358.8969	-2.668176627	0
Cluster-33358.59871	-2.665904	0
Cluster-33358.16894	-2.664113	0
Cluster-33358.67530	-2.660936	0
Cluster-33358.1331	-2.644215054	0
Cluster-33358.7302	-2.648318573	0
Cluster-33358.22618	-2.648095	0
Cluster-33358.34345	-2.652259	0
Cluster-33358.44341	-2.645689	0
Cluster-33358.50247	2.646779	0
Cluster-33358.53597	-2.648187	0
Cluster-33358.59876	-2.647981	0
Cluster-33358.46599	-2.639221	0
Cluster-33358.24656	2.630723	0
Cluster-33358.24891	-2.626859	0
Cluster-33358.40683	-2.627105	0
Cluster-33358.43720	-2.629681	0
Cluster-33358.45483	-2.631627	0
Cluster-33358.63581	-2.636211	0
Cluster-46678.0	-2.633903	0
Cluster-33358.49621	-2.624634	0
Cluster-33358.37688	2.620818	0
Cluster-33358.52394	-2.622176	0
Cluster-33358.52617	-2.611806	0
Cluster-33358.50331	2.607813	0
Cluster-33358.65004	-2.607036	0
Cluster-33358.51507	-2.603233	0
Cluster-33358.8035	-2.599682777	0
Cluster-33358.13281	-2.597995	0
Cluster-34648.0	2.591449	0
Cluster-33358.40541	-2.584917	0
Cluster-33358.24438	2.580177	0
Cluster-33358.34742	-2.570246	0
Cluster-33358.41441	-2.569946	0
Cluster-33358.46252	-2.567395	0
Cluster-33358.53226	-2.566779	0
Cluster-34675.0	-2.563406	0
Cluster-33358.16513	-2.559772	0
Cluster-33358.42420	-2.559652	0
Cluster-33358.68006	-2.550661	0
Cluster-33358.58582	-2.5477	0
Cluster-33358.25686	-2.546037	0
Cluster-33358.4440	-2.5411491	0
Cluster-33358.56460	-2.537267	0
Cluster-33358.60956	-2.536811	0
Cluster-33358.49842	-2.534822	0
Cluster-33358.53855	-2.527838	0
Cluster-45068.0	-2.526706	0
Cluster-33358.66204	-2.521049	0
Cluster-33358.64518	-2.516856	0
Cluster-33358.40681	2.511497	0
Cluster-33358.67009	-2.510852	0
Cluster-33358.12320	-2.507217	0
Cluster-47818.0	-2.507583	0
Cluster-33358.52205	-2.505362	0
Cluster-33358.3782	-2.504313371	0
Cluster-33358.25625	2.502452	0
Cluster-33358.23282	-2.496159	0
Cluster-38037.0	-2.496718	0
Cluster-33358.16676	-2.489997	0
Cluster-33358.1039	-2.485691252	0
Cluster-33358.51012	-2.483395	0
Cluster-33358.22136	-2.480373	0
Cluster-33358.42010	-2.479267	0
Cluster-33358.5071	-2.480463614	0
Cluster-33358.34355	-2.477614	0
Cluster-33358.20366	-2.47452	0
Cluster-33358.2295	-2.472935647	0
Cluster-33358.64634	2.469258	0
Cluster-33358.40642	-2.467419	0
Cluster-33358.24405	-2.46421	0
Cluster-33358.12356	-2.46199	0
Cluster-33358.60433	-2.460466	0
Cluster-33358.49279	-2.457182	0
Cluster-33358.49727	-2.451802	0
Cluster-33358.58628	2.452353	0
Cluster-33358.54386	2.450371	0
Cluster-33358.45789	-2.438705	0
Cluster-33358.15020	-2.435731	0
Cluster-33358.47741	-2.435066	0
Cluster-33358.56079	-2.434535	0
Cluster-33254.0	2.409790393	0
Cluster-33358.19494	-2.4054	0
Cluster-33358.21297	-2.415469	0
Cluster-33358.23652	-2.410108	0
Cluster-33358.23676	-2.409809	0
Cluster-33358.29177	-2.408566	0
Cluster-33358.29213	-2.423696	0
Cluster-33358.29878	-2.422751	0
Cluster-33358.31223	2.422804	0
Cluster-33358.35276	2.406545	0
Cluster-33358.36929	-2.420438	0
Cluster-33358.42320	-2.411303	0
Cluster-33358.42330	-2.414079	0
Cluster-33358.46488	-2.419194	0
Cluster-33358.48212	2.408299	0
Cluster-33358.50292	-2.410695	0
Cluster-33358.52303	-2.413817	0
Cluster-33358.57056	-2.411544	0
Cluster-33358.59828	-2.405137	0
Cluster-33358.63041	-2.417427	0
Cluster-33814.1	-2.409049	0
Cluster-33358.56214	-2.401509	0
Cluster-33358.11839	-2.394108	0
Cluster-33358.26376	-2.392042	0
Cluster-33358.29768	-2.395585	0
Cluster-33358.44861	-2.391094	0
Cluster-33358.50688	-2.392672	0
Cluster-33358.58573	-2.391879	0
Cluster-33358.63277	-2.393128	0
Cluster-33358.44523	-2.386555	0
Cluster-33358.46504	-2.384468	0
Cluster-34004.0	-2.385164	0
Cluster-33358.4609	-2.380257803	0
Cluster-33358.49445	-2.377573	0
Cluster-33358.60671	-2.375293	0
Cluster-33358.25158	-2.371491	0
Cluster-33358.35857	-2.371997	0
Cluster-33358.51097	2.371588	0
Cluster-25574.0	-2.36878593	0
Cluster-29198.0	-2.36575296	0
Cluster-33358.26089	2.364306	0
Cluster-33358.45354	-2.364176	0
Cluster-33358.55379	2.366512	0
Cluster-33358.25726	-2.361907	0
Cluster-33358.40707	-2.360974	0
Cluster-33358.49701	2.36014	0
Cluster-33358.19100	-2.351633	0
Cluster-33358.68537	-2.351541	0
Cluster-33358.15682	-2.350202	0
Cluster-33358.50308	2.347623	0
Cluster-33358.46404	-2.340832	0
Cluster-33358.30866	-2.338259	0
Cluster-33358.7466	-2.336137368	0
Cluster-33358.12731	-2.325041	0
Cluster-33358.12928	2.322733	0
Cluster-33358.17216	-2.330017	0
Cluster-33358.27692	-2.327097	0
Cluster-33358.41526	2.322214	0
Cluster-33358.47566	-2.326309	0
Cluster-33358.49014	-2.3316	0
Cluster-33358.52032	2.330166	0
Cluster-33358.54892	-2.322809	0
Cluster-33358.65120	-2.329462	0
Cluster-34544.1	-2.326667	0
Cluster-40594.0	2.32857	0
Cluster-33358.27468	-2.31854	0
Cluster-33358.58396	-2.317226	0
Cluster-33358.32982	-2.313189	0
Cluster-33358.58074	-2.311362	0
Cluster-33358.68774	-2.312025	0
Cluster-33358.28115	-2.309879	0
Cluster-33358.35397	2.308862	0
Cluster-31473.1	-2.307210352	0
Cluster-37260.1	-2.305974	0
Cluster-38632.0	-2.30209	0
Cluster-33358.24391	-2.298877	0
Cluster-33358.12625	2.297587	0
Cluster-33358.14314	-2.296445	0
Cluster-33358.19912	2.294794	0
Cluster-33358.19964	2.291929	0
Cluster-42608.2	-2.29194	0
Cluster-33358.57979	2.289974	0
Cluster-33358.66860	2.289705	0
Cluster-33358.2164	2.285686106	0
Cluster-33358.46100	-2.284604	0
Cluster-33358.62116	2.284517	0
Cluster-40956.1	-2.28645	0
Cluster-33358.30503	2.283314	0
Cluster-33358.23892	-2.281206	0
Cluster-33358.31622	2.274346	0
Cluster-33358.39886	2.27361	0
Cluster-33358.45848	-2.27301	0
Cluster-33358.2769	-2.272287492	0
Cluster-33358.63782	2.269805	0
Cluster-33358.55289	2.267298	0
Cluster-33358.64811	-2.266249	0
Cluster-33358.2717	2.260483948	0
Cluster-33358.6512	-2.259653176	0
Cluster-33358.21461	-2.256809	0
Cluster-33358.25945	2.256877	0
Cluster-33358.61877	2.258645	0
Cluster-33358.68987	-2.259058	0
Cluster-33358.38433	-2.250992	0
Cluster-33358.46237	-2.251278	0
Cluster-33358.16898	-2.247681	0
Cluster-33358.26617	-2.248627	0
Cluster-33358.55916	-2.244627	0
Cluster-36999.0	2.242875	0
Cluster-46355.0	-2.242956	0
Cluster-33358.7103	-2.243860026	0
Cluster-33358.44543	-2.239553	0
Cluster-33358.58219	-2.238175	0
Cluster-33358.28512	2.228181	0
Cluster-33358.34739	-2.235113	0
Cluster-33358.35673	2.227552	0
Cluster-33358.44444	2.227459	0
Cluster-33358.63956	-2.233054	0
Cluster-33358.65766	2.227209	0
Cluster-33358.68410	-2.230543	0
Cluster-35320.1	-2.233059	0
Cluster-42352.2	-2.230843	0
Cluster-33358.2614	-2.232390666	0
Cluster-33358.2036	-2.21353285	0
Cluster-33358.12630	-2.220143	0
Cluster-33358.18472	-2.225497	0
Cluster-33358.33093	-2.213724	0
Cluster-33358.39220	-2.213378	0
Cluster-33358.48059	2.222089	0
Cluster-33358.48387	-2.222885	0
Cluster-33358.53780	2.217344	0
Cluster-33358.54601	-2.223572	0
Cluster-33358.56197	-2.222932	0
Cluster-33358.58511	-2.215605	0
Cluster-33358.58652	-2.214114	0
Cluster-33358.66944	-2.216433	0
Cluster-33358.67788	-2.213546	0
Cluster-42666.0	-2.212839	0
Cluster-33358.53669	-2.210345	0
Cluster-33358.33162	-2.207932	0
Cluster-33358.33676	-2.206032	0
Cluster-33358.57236	-2.203205	0
Cluster-33358.63454	2.202244	0
Cluster-44706.1	-2.20199	0
Cluster-33358.25966	-2.199764	0
Cluster-47839.0	2.199092	0
Cluster-33358.26766	2.194357	0
Cluster-33358.22651	2.193114	0
Cluster-33358.13824	2.186168	0
Cluster-33358.19396	-2.189706	0
Cluster-33358.25372	2.189721	0
Cluster-33358.42463	-2.18449	0
Cluster-33358.43460	-2.185188	0
Cluster-33358.48494	-2.185967	0
Cluster-33358.50291	-2.187218	0
Cluster-33358.1045	-2.185357716	0
Cluster-33358.10319	-2.176876	0
Cluster-33358.15980	2.176492	0
Cluster-33358.51530	-2.17922	0
Cluster-33358.63898	-2.178513	0
Cluster-35480.2	-2.177889	0
Cluster-33358.2081	-2.175551663	0
Cluster-33358.7907	-2.171790428	0
Cluster-33358.20176	-2.170086	0
Cluster-33358.24127	-2.171325	0
Cluster-33358.40294	-2.172362	0
Cluster-33358.45731	-2.170521	0
Cluster-33358.10842	-2.16487	0
Cluster-33358.27019	-2.168239	0
Cluster-42133.3	2.165733	0
Cluster-47784.0	-2.165276	0
Cluster-33358.1216	-2.164878645	0
Cluster-33358.9123	-2.158590686	0
Cluster-33358.24426	-2.159695	0
Cluster-33358.34949	-2.161533	0
Cluster-33358.42129	-2.158857	0
Cluster-33358.42452	2.15881	0
Cluster-33358.50673	-2.158127	0
Cluster-33358.60517	2.162098	0
Cluster-33358.9271	2.14926	0
Cluster-33358.14701	-2.148771	0
Cluster-33358.28712	-2.147093	0
Cluster-33358.37537	-2.151124	0
Cluster-33358.45333	-2.149302	0
Cluster-33358.47238	-2.146854	0
Cluster-33358.48558	-2.147356	0
Cluster-33358.50562	-2.155993	0
Cluster-33358.68355	-2.14751	0
Cluster-42142.0	-2.14822	0
Cluster-44418.1	-2.151224	0
Cluster-33358.1828	-2.154642674	0
Cluster-33358.10775	-2.140359	0
Cluster-33358.22273	-2.137322	0
Cluster-33358.35558	-2.139452	0
Cluster-33358.35851	-2.13995	0
Cluster-33358.36674	-2.138713	0
Cluster-33358.38485	-2.137838	0
Cluster-33358.48631	-2.141816	0
Cluster-33358.57932	-2.139702	0
Cluster-33358.58397	-2.141672	0
Cluster-36274.0	-2.140892	0
Cluster-43627.0	-2.142736	0
Cluster-33358.56868	-2.131116	0
Cluster-33358.52019	2.127664	0
Cluster-33358.1487	-2.103160814	0
Cluster-33358.10949	-2.115775	0
Cluster-33358.11769	-2.108737	0
Cluster-33358.11943	2.114578	0
Cluster-33358.14221	2.114944	0
Cluster-33358.19341	-2.116842	0
Cluster-33358.20393	2.101521	0
Cluster-33358.21544	-2.113125	0
Cluster-33358.22075	-2.122007	0
Cluster-33358.22989	-2.10611	0
Cluster-33358.24330	-2.118146	0
Cluster-33358.26070	-2.119184	0
Cluster-33358.29789	-2.126122	0
Cluster-33358.33659	-2.103385	0
Cluster-33358.39483	2.119392	0
Cluster-33358.42896	-2.101474	0
Cluster-33358.43159	-2.104782	0
Cluster-33358.47000	-2.105463	0
Cluster-33358.49078	-2.120509	0
Cluster-33358.56210	-2.10215	0
Cluster-33358.57681	-2.117249	0
Cluster-33358.58572	2.121813	0
Cluster-33358.59007	-2.101753	0
Cluster-33358.64147	-2.10272	0
Cluster-33358.65317	2.105567	0
Cluster-33358.67184	-2.121093	0
Cluster-34881.2	-2.109119	0
Cluster-36308.1	-2.122147	0
Cluster-37225.1	-2.111855	0
Cluster-42179.0	-2.114175	0
Cluster-42786.0	-2.108017	0
Cluster-43512.2	-2.120038	0
Cluster-33358.36396	-2.099748	0
Cluster-33358.11649	-2.097393	0
Cluster-33358.30678	-2.095071	0
Cluster-33358.52457	-2.09437	0
Cluster-33358.58010	-2.096712	0
Cluster-33358.6692	2.09429413	0
Cluster-33358.7910	-2.095012184	0
Cluster-33358.15184	-2.092101	0
Cluster-33358.33633	-2.089241	0
Cluster-33358.39568	-2.089311	0
Cluster-33358.39281	2.087697	0
Cluster-33358.66087	-2.086597	0
Cluster-33358.30743	-2.084088	0
Cluster-33358.63588	-2.083228	0
Cluster-33358.17537	2.081041	0
Cluster-34799.0	-2.077808	0
Cluster-33358.9763	-2.069395	0
Cluster-33358.31555	-2.069686	0
Cluster-33358.35599	-2.075548	0
Cluster-33358.37396	-2.075381	0
Cluster-33358.52561	2.06962	0
Cluster-33358.52776	-2.070398	0
Cluster-33358.63847	-2.074465	0
Cluster-33358.65527	-2.071307	0
Cluster-36953.0	-2.071308	0
Cluster-33358.7346	-2.071495705	0
Cluster-33358.4926	-2.063514887	0
Cluster-33358.11086	-2.065963	0
Cluster-33358.19954	-2.062443	0
Cluster-33358.37258	-2.065375	0
Cluster-33358.52566	2.063413	0
Cluster-33358.61689	-2.062294	0
Cluster-33358.66959	-2.062107	0
Cluster-33358.68411	2.062759	0
Cluster-33358.64441	-2.060261	0
Cluster-33358.1933	-2.056049734	0
Cluster-33358.9526	-2.058507	0
Cluster-33358.25088	-2.058835	0
Cluster-33358.30749	-2.054603	0
Cluster-33358.33405	-2.053636	0
Cluster-33358.36015	-2.053968	0
Cluster-33358.45531	-2.052966	0
Cluster-33358.48843	-2.053851	0
Cluster-33358.65209	-2.057453	0
Cluster-33358.65280	2.051924	0
Cluster-33358.44040	2.050793	0
Cluster-33358.63538	2.049973	0
Cluster-33358.60694	-2.048901	0
Cluster-33358.38859	-2.04467	0
Cluster-35908.0	-2.043621	0
Cluster-33358.34911	-2.039441	0
Cluster-33358.8222	-2.035368425	0
Cluster-33358.8384	2.036194099	0
Cluster-33358.16895	-2.033177	0
Cluster-33358.23014	-2.032803	0
Cluster-33358.42269	-2.032284	0
Cluster-33358.54101	-2.033127	0
Cluster-33358.56543	-2.034617	0
Cluster-33358.65499	-2.034738	0
Cluster-37307.1	-2.033304	0
Cluster-33358.17020	2.027688	0
Cluster-33358.18992	-2.028414	0
Cluster-33358.36203	-2.029388	0
Cluster-33358.39660	-2.027381	0
Cluster-33358.56790	-2.027825	0
Cluster-35255.0	-2.025574	0
Cluster-33358.4795	-2.026200602	0
Cluster-33358.29580	2.024852	0
Cluster-33358.55545	2.023484	0
Cluster-33358.4156	-2.022629352	0
Cluster-33358.26075	-2.020754	0
Cluster-33358.12605	-2.019463	0
Cluster-33358.35366	-2.018108	0
Cluster-33358.39777	-2.018514	0
Cluster-33358.51241	-2.015481	0
Cluster-33358.62659	2.012712	0
Cluster-33358.3115	-2.01292174	0
Cluster-33358.10650	-2.007461	0
Cluster-46459.2	-2.00773	0
Cluster-35915.0	-2.005405	0
Cluster-44979.1	-2.004673	0
Cluster-33358.7113	2.002796136	0
Cluster-33358.64551	-2.002523	0
Cluster-33358.14475	-2.000174	0
Cluster-33358.20812	-2.000404	0
Cluster-33358.32652	1.997852	0
Cluster-33358.61067	1.998266	0
Cluster-37019.1	-2.000971	0
Cluster-37393.0	-1.997433	0
Cluster-25929.1	-1.998642395	0
Cluster-34924.0	-1.994892	0
Cluster-33358.14013	-1.987179	0
Cluster-33358.30720	-1.987209	0
Cluster-33358.32312	-1.98587	0
Cluster-33358.42562	1.991791	0
Cluster-33358.45226	-1.987405	0
Cluster-33358.47930	-1.990734	0
Cluster-33358.49246	-1.992589	0
Cluster-33358.62340	1.986614	0
Cluster-33358.68206	-1.986463	0
Cluster-33358.68247	1.986672	0
Cluster-23136.3	-1.985865143	0
Cluster-33358.7587	1.988514046	0
Cluster-33358.29733	-1.983716	0
Cluster-33358.64315	-1.984094	0
Cluster-33358.22616	-1.980963	0
Cluster-33358.42553	1.981462	0
Cluster-33358.45853	-1.980811	0
Cluster-33358.32003	-1.978499	0
Cluster-33358.64984	-1.979103	0
Cluster-33358.46055	-1.977236	0
Cluster-33358.38318	-1.975371	0
Cluster-33358.37953	-1.974344	0
Cluster-39073.0	-1.973828	0
Cluster-47319.1	-1.973167	0
Cluster-25589.1	-1.970251154	0
Cluster-33358.7039	-1.961206632	0
Cluster-33358.7193	-1.966071596	0
Cluster-33358.8638	-1.956744674	0
Cluster-33358.9940	-1.953507	0
Cluster-33358.14664	1.952943	0
Cluster-33358.15765	-1.956174	0
Cluster-33358.20253	-1.955945	0
Cluster-33358.28547	1.960118	0
Cluster-33358.29189	-1.964137	0
Cluster-33358.30452	-1.958941	0
Cluster-33358.32448	-1.951968	0
Cluster-33358.32693	-1.955015	0
Cluster-33358.37150	-1.959383	0
Cluster-33358.41502	1.967476	0
Cluster-33358.44984	1.965388	0
Cluster-33358.48031	-1.961136	0
Cluster-33358.50298	-1.959977	0
Cluster-33358.50724	-1.953898	0
Cluster-33358.54754	1.962414	0
Cluster-33358.58911	1.965439	0
Cluster-33358.61373	-1.958396	0
Cluster-33358.62050	-1.960035	0
Cluster-33358.65080	1.952264	0
Cluster-33358.65953	-1.957718	0
Cluster-33358.66049	1.966613	0
Cluster-33358.66888	-1.962603	0
Cluster-33358.68420	1.962064	0
Cluster-39254.0	-1.96437	0
Cluster-40544.1	-1.95142	0
Cluster-40832.1	-1.960716	0
Cluster-45751.0	-1.970915	0
Cluster-33358.62752	1.949802	0
Cluster-33358.63608	-1.949748	0
Cluster-33358.16203	-1.946624	0
Cluster-33358.31667	1.939791	0
Cluster-33358.42327	-1.942904	0
Cluster-33358.44763	1.939241	0
Cluster-33358.52115	1.941061	0
Cluster-33358.55102	-1.941994	0
Cluster-33358.63088	-1.939126	0
Cluster-33358.66256	-1.940181	0
Cluster-33358.67265	-1.942862	0
Cluster-33358.67742	-1.938537	0
Cluster-41580.0	-1.941248	0
Cluster-31615.2	1.943564852	0
Cluster-33358.203	1.944735545	0
Cluster-33358.2874	-1.941097618	0
Cluster-33358.3995	-1.943032038	0
Cluster-33358.39537	-1.937244	0
Cluster-33358.47457	-1.937244	0
Cluster-33358.44661	-1.936179	0
Cluster-33358.5720	-1.935339756	0
Cluster-33358.17131	-1.930434	0
Cluster-33358.18307	-1.931815	0
Cluster-33358.40233	-1.927015	0
Cluster-33358.41064	-1.929064	0
Cluster-33358.50310	1.927897	0
Cluster-33358.50661	-1.931086	0
Cluster-33358.52721	-1.930054	0
Cluster-33358.54247	-1.927711	0
Cluster-33358.64129	-1.931884	0
Cluster-33358.66288	1.927191	0
Cluster-33358.37487	-1.924433	0
Cluster-33358.31687	-1.922378	0
Cluster-33358.51958	-1.921069	0
